*a	?a:
*A	'?a:
*Abo	'?a:|bo:
*ach	'?ax
*"a	'?E:
*ai	'?aI
*Ai	'?aI
*Aib	'?aIp
*Aibe	'?aI|b@
*Aiblo	'?aI|blo:
*Aibo	'?aI|bo:
*Aibolo	'?aI|bo|lo:
*Aicho	'?aI|Co:
*aif	'?aIf
*Aigo	'?aI|go:
*Aijo	'?aI|jo:
*Ailbo	'?aI|bo:
*Aivo	'?aI|vo:
*al	'?al
*Albo	'?al|bo:
*alla	'?a|la:
*alsbleit	'?als|blaIt
*an	?an
*as	'?as
*asse	'?a|s@
*au	'?aU
*Aub	'?aUp
*aube	'?aU|b@
*Aube	'?aU|b@
*auf	'?aUf
*auf'm	'?aUf|m
*aufs	'?aUfs
*aufst	'?aUfst
*aufsteh	'?aUf|Ste:
*aulhalb	'?aUlhalp
*aus	'?aUs
*ausch	'?aUS
*austehen	'?aU|Ste:|@n
*av	'?af
*bi	'bI
*bis	'bIs
*bisje	'bIs|j@
*biss	'bIs
*bisselchen	'bI|s@l|C@n
*bissele	'bI|s@|l@
*bissn	'bIs|n
*bl	bl
*blei	'blaI
*bleibste	'blaIp|st@
*bleim	'blaIm
*bllb	bl@bl@
*bo	'bo:
*bra	'bra:
*Brav	'bra:f
*br	br
*ch	C
*chia	'Cja:
*dach	'dax
*da	'da:
*dah	'da:
*d	d
*dd	d
*de	'de:
*deh	'de:
*des	'dEs
*dg	dg
*di	'di:
*dis	'dIs
*do	'do:
*donoch	'dO|nOx
*dop	'do:p
*dopp	'dOp
*drauf	'draUf
*dr	dr
*dreht	'dre:t
*du's	'du:s
*dus	'du:s
*Ebo	'?e:|bo:
*echts	'?ECts
*e	?e:
*eg	'?e:k
*eh	'?e:
*ei	'?aI
*eib	'?aIp
*einein	'?aIn|?aIn
*einfa	'?aIn|fa
*eiter	'?aI|t6
*enau	?e:|'naU
*end	'?Ent
*endli	'?Ent|lI
*en	?En
*ers	'?E6s
*ess	'?Es
*etwa	'?Et|va
*etzen	'?Et|s@n
*fa	'fa:
*fe	'fE
*fei	'faI
*fem	'fEm
*fertich	'fE6|tIC
*f	f
*fies	'fi:s
*frav	'fra:f
*fstehen	'fSte:|@n
*fut	'fu:t
*Futter	'fU|t6
*geaus	'ge:|?aUs
*ge	'gE
*gehd	'ge:t
*geh	'ge:
*gehg	'ge:k
*gei	'gaI
*gela	'ge:|la
*gemach	g@|'max
*gema	g@|'ma:
*gena	'ge:|na
*genamp	g@|'namp
*gen	'ge:n
*geradeau	g@|'ra:|d@|?aU
*geradeausch	g@|'ra:|d@|?aUS
*gerade	g@|'ra:|d@
*gerad	g@|'ra:t
*gera	g@|'ra:
*gerer	g@|'rE6
*ger	g@r
*gesacht	g@|'zaxt
*gescha	g@|'Sa
*g	'ge:
*gif	'gIf
*gi	'gi:
*glei	'glaI
